collection,name_field,category,name
ingre_inci,inciName,garbage_long_name,"Hydrogenated Castor Oil/Sebacic Acid Copolymer. EstoGel® Green distributed by DKSH is a new oil gellant. It is a natural origin, rheology modifier with suspensory and rheofluidifying properties which creates non-brittle, transparent, sprayable gels with a very pleasant sensory feel. It is suitable for medium polar to polar oil gelification (some apolar oils too).
It is perfect combination of naturalness and performance for texturing oils. 
It is easy to disperse and offers soft & silky touch. 
It controls waxes crystallization and improves pigment distribution.
It is recommended for use in skin-, personal-, hair- & sun-care, make-up and perfumes applications. 
It is RSPO, COSMOS certified and China INCI compliant. 
EstoGel® Green has a shelf life of 1 year.
 HYDROGENATED CASTOR OIL/SEBACIC ACID COPOLYMER"
ingre_inci,inciName,garbage_long_name,"Phenylpropanol. A-Leen® Aroma-3 distributed by DKSH is a nature-derived, mild perfuming agent. It offers a broad-spectrum antimicrobial effect. It is a fragrance component naturally occurring in flowers and fruits. 
It is a 100% natural version of phenylpropanol produced starting from Cassia essential oil, which is traditionally obtained by steam distillation from the leaves and branches of the Chinese cinnamon tree Cinnamomum cassia. 
It brings a comfortable, balsamic and spicy oriental note.  
It is largely pH-independent and preservative-free grade. 
A-Leen® Aroma-3 is used in skin- & hair care products, make-up formulations, toiletries, wet wipes and perfumes. 
It is in accordance with the principles of “green-chemistry”.  
It is USDA certified, ECOCERT, COSMOS and NATRUE approved.
 PHENYLPROPANOL"
ingre_inci,inciName,garbage_long_name,"Polycaprolactone. CalyCare™ Gel 100 by Calyxia and distributed by Brenntag Beauty & Personal Care is a unique oil-phase gelling agent and emulsion viscosity stabilizer. It exhibits swelling properties and strong affinity with oils, fragrances and glycols. It can provide a wide range of texture, from gelled oils to wax-like consistencies. It is microplastic-free and offers a light, powdery, non-greasy and non-sticky finish. It is eco-designed and can be used at room temperature and with low shear, making the process easy and cost-effective.  It is suitable for O/W & W/O emulsions, anhydrous, liquid, and solid formula.It increases SPF performance while lowering UV filter loads. It is biodegradable according to OECD guidelines, and conforms to INCI China and REACH standards. CalyCare™ Gel 100 is recommended for body-, hair care, make-up and skincare formulations.


This product is distributed globally. For more information, please contact the Brenntag team using the Contact Supplier button.
 POLYCAPROLACTONE"
ingre_inci,inciName,garbage_long_name,"ETERWELL™ HAIR by DSM-Firmenich is the first senolytic plant extract designed to promote hair follicle longevity and stimulate hair growth. It is made with 100% natural ingredients and alpine blue flax sourced ethically and fairly. 

It delivers excellent performance even at low concentrations. 

It selectively eliminates harmful cells through targeted apoptosis, reactivating the hair's natural renewal processes. 

ETERWELL™ HAIR promotes reduced inflammation, a balanced scalp, increased hair density, and the prevention of hair loss. 

It follows green chemistry principles, utilizing gentle extraction with organic ethanol and maintaining a low carbon footprint, thereby minimizing environmental impact. 

It offers versatile application, promoting holistic and sustainable hair care while helping to slow premature hair aging."
ingre_inci,inciName,garbage_long_name,"Hydroxypropyl Methylcellulose (and) Cellulose Gum (and) Xanthan Gum. texturpure™ sa-2 ingredient by Ashland acts as a texturing and suspension agent. It offers a rich, smooth and luxuriously texture. It is designed to replace synthetic ingredients like acrylate-based polymers without sacrificing performance. It is 100% active and clean INCI ingredient which provides a sensorial experience.  
 It is used in hand care, body care, cleansers, shampoos, sulfate-free, silicone-free, anti-dandruff & deep conditioning products. 
 It glides & coats hair and provides rich foam, quick & easy rinse without any residues, leaving the hair smooth and detangled. 
 It exhibits heat- & salt tolerance and stability through suspension of oils and active ingredients in cleansing systems. 
 texturpure™ sa-2 ingredient is naturally derived, cold-processed, biodegradable and Vegan suitable grade. 
 HYDROXYPROPYL METHYLCELLULOSE"
ingre_inci,inciName,garbage_long_name,"Lactive™ (INCI: Hydrolyzed Lactoferrin) by BiCT and supplied by Brenntag Beauty & Personal Care in Western Europe (Italy and Iberia) is a whey-derived ingredient of high purity and certified for human use. The hydrolysis process enhances the bioactivity of lactoferrin, optimizing its biological functions. Lactive™ supports microbiome balance and is particularly suited for formulations targeting skin and mucosal applications.
It also demonstrates wound-healing and anti-aging properties, making it a versatile ingredient for advanced personal care formulations.
It acts as an anti-inflammatory-, and antiviral agent.
It is a mixture of peptides that comes from natural bioactivation and hydrolysis of the protein lactoferrin and is titrated in lactoferricin.
It exhibits a dual function by favoring the prebiotic flora and inhibiting the proliferation of harmful microorganisms at a determined dosage.
It creates a barrier against bacterial and/or viral attacks and offers anti-dandruff, and antioxidant properties.
Lactive™ is suitable for formulating anti-acne, anti-odor, vaginal health/intimate hygiene, hair-, facial-, and oral care products.
It is BSE-, pesticide-, preservative-, phthalate-, and volatile organic compounds-free grade.
It has a shelf life of 24 months.
 This product is distributed in Western Europe (Italy and Iberia) region only. For more information, please contact the Brenntag team using the Contact Supplier button."
ingre_inci,inciName,garbage_long_name,"CosVivet PQ11 (INCI: Polyquaternium-11) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. This product is soluble in both water and alcohols. It promotes easy distribution over the hair, improves compatibility and clarity in anionic surfactant systems.
CosVivet PQ11 is highly recommended for use in styling products.
It is also used in shower gels, fixative sprays, conditioners, transparent shampoos and facial cleansers.
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-11"
ingre_inci,inciName,garbage_long_name,"CosVivet PQ39 (INCI: Polyquaternium-39) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. It helps to hold curls without flaking. It is compatible with most anionic and amphoteric surfactants. It can provide richer and more dense foam in pumpable soaps and reduce irritation of surfactants.
It is mainly used in hair care, as it improves wet and dry combing considerably.
CosVivet PQ39 is the preferred polyquat for curl activators and facial cleansers.
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-39"
ingre_inci,inciName,garbage_long_name,"CosVivet PQ22 (INCI: Polyquaternium-22) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. It is compatible with cationic, nonionic, anionic, and amphoteric surfactants. It delivers conditioning, even in extreme conditions (pH 2-14).
It helps improve the saturation of hair colors and reduction of ammonia and hair dye levels.
CosVivet PQ22 is recommended for hair care, especially shampoos, dyes and fixatives.
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-22"
ingre_inci,inciName,garbage_long_name,"CosVivet PQ10 (INCI: Polyquaternium-10) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. It is a cationic conditioning agent in crystalline powder form suitable for clear formulations, can be used as a water soluble film former and viscosity enhancer.
It provides antistatic properties.
It is suitable for skin and hair applications.
CosVivet PQ10 has a shelf life of 2 years.
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-10"
ingre_inci,inciName,garbage_long_name,"CosVivet PQ7-40 (INCI: Polyquaternium-7) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. It improves compatibility and clarity in anionic surfactant systems, provides a rich and creamy foam to shampoos, imparts a soft, silky feel to skin and hair.
CosVivet PQ7-40 is a universal ingredient for many skin and hair care applications.
Active content is 39-41%.
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-7"
ingre_inci,inciName,garbage_long_name,"CosVivet PQ6 (INCI: Polyquaternium-6) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. It has a high substantive power, is ideal for high pH or highly reactive formulations, e.g. bleaches, hair colors or relaxers.
It is compatible with cationic, non-ionic and amphoteric surfactants.
CosVivet PQ6 is 100% cationic, mainly used in hair care applications, e.g. hair masks.
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-6"
ingre_inci,inciName,garbage_long_name,"CosVivet PQ7-36 (INCI: Polyquaternium-7) is a skin and hair conditioner supplied by Brenntag Beauty & Personal Care in Western and Central Eastern Europe. It improves compatibility and clarity in anionic surfactant systems, provides a rich and creamy foam to shampoos, imparts a soft, silky feel to skin and hair.
CosVivet PQ7-36 is a universal ingredient for many skin and hair care applications.
Active content is 33-36%. 
CosVivet is a registered Tradename of Brenntag.
 This product is distributed in the EMEA (Western and Central Eastern Europe) region only. For more information, please contact the Brenntag team using the Contact Supplier button. 
 POLYQUATERNIUM-7"
ingre_inci,inciName,garbage_long_name,"Betaine (30%) (and) Sodium PCA (10%) (and) Sorbitol (4.2%) (and) Serine (1.5%) (and) Glycine (1.0%) (and) Glutamic Acid (0.75%) (and) Alanine (0.40%) (and) Lysine (0.35%) (and) Arginine (0.35%) (and) Threonine (0.2%) (and) Proline (0.1%) (and) Methylparaben (0.1%) (and) Propylparaben (and) Aqua. Prodew® 400 by Ajinomoto acts as an effective moisturizing agent and humectant. It is a 50% aqueous solution made from non-animal origin. It protects the skin from dryness, promotes elasticity and help keep skin healthy and fresh-looking. It is designed on the principles of biomimicry, the natural component mixture to base a cosmetic product on is NMF and natural moisturizing factor. Prodew® 400 shows excellent moisture absorption, hygroscopicity and retention capabilities. It can be used in tonic, shower gel, creams, lotions, treatments, pre- and post-suncare and make-up products. It is recommended for shampoos, conditioners, hair tonics, hair creams, foundations, lipsticks, damaged and sensitive skin products.
 BETAINE"
